idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
7,90,25,1540164415,1540169818,90.05,1859,2104,16093,18383,0,7.44220599e+06,3532.5001,3617.9667,3109.9971,2.6313198,1.1847737,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91072845,0
8,90,25,1540169818,1540175253,90.583333,2105,2343,18391,20671,0,7.74200527e+06,3527.3408,3614.0359,3107.8382,2.6156908,1.5554137,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91009625,0
9,90,25,1540175253,1540180660,90.116667,2344,2595,20699,22984,0,7.94583311e+06,3547.8368,3629.2487,3119.6082,2.6858845,1.4598565,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91354297,0
10,90,25,1540180660,1540186077,90.283333,2596,2832,22990,25269,0,7.4346375e+06,3538.9236,3623.3975,3099.7995,2.6426269,1.0501249,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.90774221,0
11,90,25,1540186077,1540191528,90.85,2833,3083,25291,27587,0,8.27911393e+06,3551.19,3639.0921,3121.1085,2.5817227,1.1601371,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.91398232,0
12,90,25,1540191528,1540196932,90.066667,3084,3325,27608,29885,0,7.87514873e+06,3574.9633,3665.4677,3163.1242,2.5282256,1.4595362,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.92628616,0
13,90,25,1540196932,1540202341,90.15,3326,3577,29903,32191,0,7.9670792e+06,3589.3491,3680.5393,3168.8429,2.5094679,1.3335745,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.92796081,0
14,90,25,1540202341,1540207752,90.183333,3578,3837,32205,34488,0,8.65179724e+06,3655.5508,3739.8116,3210.9646,2.5712781,2.0339657,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.94029569,0
15,90,25,1540207752,1540213157,90.083333,3838,4107,34508,36809,0,8.87335647e+06,3611.6725,3701.0172,3188.3437,2.5224044,1.4086179,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.93367141,0
16,90,25,1540213157,1540217689,75.533333,4108,4323,36817,38740,0,6.91369825e+06,3602.1808,3690.7927,3174.5521,2.5389502,1.2672596,4,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.92963268,0
0,90,25,1540126470,1540131907,90.616667,0,252,10,2295,0,3.62079488e+06,2095.0834,2468.3063,2189.2973,1.5371364,8.1994094,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.64111165,0
1,90,25,1540131907,1540137343,90.6,253,520,2315,4593,0,3.54295766e+06,2057.5605,2363.9993,2116.782,2.0023154,7.7327551,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.61987633,0
2,90,25,1540137343,1540142745,90.033333,521,801,4617,6907,0,3.77676284e+06,2036.1309,2367.1188,2137.6462,1.8481345,9.2983719,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.62598617,0
3,90,25,1540142745,1540148160,90.25,802,1049,6909,9181,0,3.40895103e+06,2060.5992,2416.0698,2150.975,1.6674999,7.9026544,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.62988938,0
4,90,25,1540148160,1540153561,90.016667,1050,1310,9204,11499,0,3.63857038e+06,2071.004,2414.3492,2186.5122,1.7335,8.4920326,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.64029607,0
5,90,25,1540153561,1540158979,90.3,1311,1563,11502,13785,0,3.8480436e+06,2070.9232,2468.3555,2204.9797,1.4264833,7.9211512,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.64570405,0
6,90,25,1540158979,1540164396,90.283333,1564,1813,13793,16074,0,3.328754e+06,2083.1522,2391.3079,2156.9706,1.961951,7.7048519,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.63164512,0
7,90,25,1540164396,1540169818,90.366667,1814,2086,16085,18381,0,3.39868065e+06,2068.656,2403.1587,2144.7508,1.7928375,6.6413413,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.62806668,0
8,90,25,1540169818,1540175226,90.133333,2087,2354,18391,20676,0,3.94578111e+06,2092.1053,2438.7374,2165.7214,1.6944029,7.8671243,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.6342077,0
9,90,25,1540175226,1540180629,90.05,2355,2615,20688,22971,0,3.80562192e+06,2104.521,2516.1982,2201.2505,1.3345977,7.0692659,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.64461202,0
10,90,25,1540180629,1540186034,90.083333,2616,2858,22976,25265,0,3.4331752e+06,2119.4753,2452.6315,2232.8452,1.7551916,8.4861384,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.65386418,0
11,90,25,1540186034,1540191436,90.033333,2859,3087,25272,27557,0,3.30625731e+06,2142.6012,2522.3573,2241.0132,1.467948,6.8014093,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.65625608,0
12,90,25,1540191436,1540196842,90.1,3088,3336,27569,29860,0,3.69747597e+06,2137.7178,2453.672,2182.4333,1.8524054,7.1997156,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.63910161,0
13,90,25,1540196842,1540202323,91.35,3337,3577,29865,32162,0,3.27227906e+06,2169.5966,2479.0502,2223.2934,1.867266,7.5785139,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.65106703,0
14,90,25,1540202323,1540207730,90.116667,3578,3833,32197,34492,0,3.59635272e+06,2170.0508,2499.3677,2207.4027,1.7359451,7.4373779,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.6464136,0
15,90,25,1540207730,1540213136,90.1,3834,4092,34498,36797,0,4.06744671e+06,2154.4351,2523.7163,2222.4156,1.515163,7.9867603,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.65080996,0
16,90,25,1540213136,1540217716,76.333333,4093,4319,36808,38751,0,3.46062686e+06,2162.418,2546.6467,2237.6911,1.4316933,7.1535854,5,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.65528324,0
0,90,25,1540126450,1540131917,91.116667,0,237,1,2289,0,2.73287076e+06,1856.1015,2187.5439,1994.7138,1.9392635,6.4020791,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.58413001,0
1,90,25,1540131917,1540137320,90.05,238,491,2319,4579,0,3.47118677e+06,1884.2325,2262.0166,2015.2954,1.5981238,6.5891014,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.5901571,0
2,90,25,1540137320,1540142737,90.283333,492,765,4608,6896,0,3.56221659e+06,1864.8055,2266.4277,2044.2314,1.4778485,7.8320015,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.59863068,0
3,90,25,1540142737,1540148148,90.183333,766,1006,6905,9188,0,3.0475153e+06,1886.1468,2243.5622,2040.8844,1.7238127,7.2927432,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.59765057,0
4,90,25,1540148148,1540153564,90.266667,1007,1247,9199,11481,0,3.09993839e+06,1885.7691,2247.5114,2035.1334,1.6961812,6.8795387,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.59596643,0
5,90,25,1540153564,1540158990,90.433333,1248,1500,11503,13784,0,3.20032993e+06,1916.3406,2281.9821,2041.3244,1.6423757,6.4826394,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.5977794,0
6,90,25,1540158990,1540164411,90.35,1501,1773,13798,16080,0,3.56018271e+06,1897.3387,2277.8379,2079.8333,1.5702052,7.8288421,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.60905631,0
7,90,25,1540164411,1540169845,90.566667,1774,2002,16091,18387,0,3.0460238e+06,1898.1956,2281.007,2037.9114,1.5559371,6.1309245,6,240,/home/basti/CastData/data/DataRuns2018_Reco.h5,"2018-10-19",0.59677995,0
