idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod
25,90,25,1509520733,1509526134,90.016667,6572,6839,56821,59049,0,7.31041776e+06,4145.8521,4472.4493,4307.4997,3.7209062,2.5499802,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
26,90,25,1509526134,1509531572,90.633333,6840,7085,59050,61271,0,7.64966704e+06,4082.255,4459.8472,4310.7166,3.3710558,3.3799164,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
27,90,25,1509531572,1509536972,90,7086,7355,61297,63521,0,7.76644026e+06,4102.7587,4455.4364,4290.4186,3.5470841,3.7691521,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
28,90,25,1509536972,1509542461,91.483333,7356,7636,63522,65766,0,7.24667349e+06,4137.8434,4447.4685,4285.4536,3.8907743,3.0159879,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
29,90,25,1509542461,1509547875,90.233333,7637,7898,65804,68029,0,7.09915384e+06,4136.3567,4454.028,4316.8769,3.8156245,3.6455827,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
30,90,25,1509547875,1509553309,90.566667,7899,8149,68041,70275,0,6.62492594e+06,4109.8205,4443.5316,4275.8258,3.7024541,2.5921805,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
31,90,25,1509553309,1509558725,90.266667,8150,8419,70293,72524,0,6.32671449e+06,4165.3772,4412.1994,4244.0274,4.5501593,4.3794947,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
32,90,25,1509558725,1509564134,90.15,8420,8660,72540,74772,0,6.55582502e+06,4125.4871,4404.3825,4229.6336,4.2291834,4.2459332,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
33,90,25,1509564134,1509569563,90.483333,8661,8916,74783,76964,0,6.55334128e+06,4136.5524,4397.3984,4238.2665,4.4221499,4.3743706,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
34,90,25,1509569563,1509574983,90.333333,8917,9157,77027,79266,0,6.17387612e+06,4102.9406,4375.4954,4203.7019,4.3363446,3.8953674,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
35,90,25,1509574983,1509580385,90.033333,9158,9419,79288,81520,0,6.21185877e+06,4126.3887,4380.2054,4206.8899,4.5254541,4.0250684,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
36,90,25,1509580385,1509585788,90.05,9420,9672,81532,83756,0,6.55457653e+06,4104.156,4397.3834,4218.5175,4.1047054,4.1570666,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
37,90,25,1509585788,1509591228,90.666667,9673,9928,83765,85968,0,6.66392689e+06,3997.3792,4375.7187,4250.4261,3.4648126,3.4203692,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
38,90,25,1509591228,1509596634,90.1,9929,10183,85999,88245,0,7.32181177e+06,4028.1781,4383.1432,4254.1436,3.6200702,3.6264623,2,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
0,90,25,1509385181,1509390583,90.033333,0,277,5,2234,0,7.96968462e+06,3448.8966,3571.7143,3349.9407,2.6507581,2.3330197,3,76,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30"
