idx,interval,minInterval,tStart,tStop,tLength,sliceStart,sliceStop,sliceStartEvNum,sliceStopEvNum,numClusters,N,G_fit,G_fitmean,G,theta,redChiSq,Chip,Run,File,RunPeriod,(/ G (max (col G))),prevVals_GGPLOTNIM_INTERNAL
4,90,25,1510181502,1510186902,90,975,1203,8930,11125,0,7.6540052e+06,4466.5624,4760.8644,4710.1233,3.7761378,3.447869,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94981268,0
5,90,25,1510186902,1510192316,90.233333,1204,1447,11154,13366,0,8.0860566e+06,4466.4277,4737.4444,4676.4008,4.0057376,3.6575064,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94301243,0
6,90,25,1510192316,1510197743,90.45,1448,1719,13378,15609,0,8.17544123e+06,4486.6145,4737.1508,4656.9781,4.2018222,3.0318852,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93909578,0
7,90,25,1510197743,1510203190,90.783333,1720,1947,15621,17843,0,7.10671836e+06,4443.6878,4717.1378,4639.0302,4.008986,2.8541479,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93547651,0
8,90,25,1510203190,1510208602,90.2,1948,2199,17871,20084,0,7.59183207e+06,4441.7968,4709.3064,4631.0028,4.0737655,3.1220221,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93385777,0
9,90,25,1510208602,1510214012,90.166667,2200,2443,20106,22327,0,8.50047959e+06,4437.3889,4717.8572,4642.3877,3.9452003,2.9632634,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93615358,0
10,90,25,1510214012,1510219415,90.05,2444,2676,22340,24539,0,7.0929842e+06,4408.6366,4703.9633,4612.9889,3.834608,2.0820511,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.9302252,0
11,90,25,1510219415,1510224882,91.116667,2677,2912,24567,26768,0,8.02711336e+06,4450.3725,4723.5486,4648.7061,4.00343,2.9376911,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93742769,0
12,90,25,1510224882,1510230302,90.333333,2913,3155,26828,29032,0,7.53986076e+06,4438.6472,4698.7273,4626.4925,4.1584139,3.1899513,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93294824,0
13,90,25,1510230302,1510235703,90.016667,3156,3430,29055,31260,0,8.22976107e+06,4444.8206,4713.3848,4641.5224,4.058695,2.9879729,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93597908,0
14,90,25,1510235703,1510241105,90.033333,3431,3667,31274,33498,0,8.2220747e+06,4470.716,4745.1144,4660.1493,3.9656573,3.8312695,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93973525,0
15,90,25,1510241105,1510246524,90.316667,3668,3926,33504,35745,0,8.37743609e+06,4458.2781,4726.5236,4641.4,4.0449455,3.0783389,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93595438,0
16,90,25,1510246524,1510250437,65.216667,3927,4102,35756,37381,0,5.29462761e+06,4468.1659,4713.2428,4637.9633,4.2894454,2.3555313,5,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93526137,0
0,90,25,1510159794,1510165238,90.733333,0,228,2,2211,0,7.5336225e+06,4358.1451,4653.24,4669.0062,3.9865079,2.7464046,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94152129,0
1,90,25,1510165238,1510170658,90.333333,229,470,2230,4442,0,6.79558575e+06,4497.6081,4696.7766,4713.0349,4.9573239,5.4242926,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.95039982,0
2,90,25,1510170658,1510176071,90.216667,471,748,4455,6681,0,8.03466915e+06,4504.1897,4702.3886,4667.6506,4.9612835,4.7521332,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94124793,0
3,90,25,1510176071,1510181514,90.716667,749,987,6690,8908,0,7.82869672e+06,4378.1168,4654.3867,4684.7184,4.1548645,3.2551641,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94468971,0
4,90,25,1510181514,1510186926,90.2,988,1220,8935,11146,0,7.00229837e+06,4342.8965,4638.5606,4665.2635,4.0007088,2.7448676,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94076654,0
5,90,25,1510186926,1510192329,90.05,1221,1477,11164,13381,0,7.26135417e+06,4483.1247,4692.2005,4709.2712,4.8341668,5.6831846,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94964086,0
6,90,25,1510192329,1510197756,90.45,1478,1729,13384,15610,0,7.21883151e+06,4493.1336,4700.7306,4702.2289,4.8395843,5.1110986,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.94822075,0
7,90,25,1510197756,1510203200,90.733333,1730,1967,15626,17843,0,7.35884493e+06,4456.233,4667.9595,4659.9334,4.8391674,4.8049005,6,84,/home/basti/CastData/data/DataRuns2017_Reco.h5,"2017-10-30",0.93969172,0
