Median energy [keV],Density,RunPeriod,Interval
2.8908909,43.636902,17/02/2018,30
2.8928929,43.699795,17/02/2018,30
2.8948949,43.762206,17/02/2018,30
2.8968969,43.824587,17/02/2018,30
2.8988989,43.887341,17/02/2018,30
2.9009009,43.950816,17/02/2018,30
2.9029029,44.015308,17/02/2018,30
2.9049049,44.081052,17/02/2018,30
2.9069069,44.148225,17/02/2018,30
2.9089089,44.216944,17/02/2018,30
2.9109109,44.28727,17/02/2018,30
2.9129129,44.3592,17/02/2018,30
2.9149149,44.432679,17/02/2018,30
2.9169169,44.507597,17/02/2018,30
2.9189189,44.583792,17/02/2018,30
2.9209209,44.661054,17/02/2018,30
2.9229229,44.739131,17/02/2018,30
2.9249249,44.817731,17/02/2018,30
2.9269269,44.896528,17/02/2018,30
2.9289289,44.975167,17/02/2018,30
2.9309309,45.05327,17/02/2018,30
2.9329329,45.13044,17/02/2018,30
2.9349349,45.20627,17/02/2018,30
2.9369369,45.280344,17/02/2018,30
2.9389389,45.352246,17/02/2018,30
2.9409409,45.421565,17/02/2018,30
2.9429429,45.487898,17/02/2018,30
2.9449449,45.550859,17/02/2018,30
2.9469469,45.61008,17/02/2018,30
2.9489489,45.665217,17/02/2018,30
2.950951,45.715954,17/02/2018,30
2.952953,45.762004,17/02/2018,30
2.954955,45.803117,17/02/2018,30
2.956957,45.839077,17/02/2018,30
2.958959,45.869707,17/02/2018,30
2.960961,45.894869,17/02/2018,30
2.962963,45.914467,17/02/2018,30
2.964965,45.928445,17/02/2018,30
2.966967,45.936788,17/02/2018,30
2.968969,45.93952,17/02/2018,30
2.970971,45.936706,17/02/2018,30
2.972973,45.928448,17/02/2018,30
2.974975,45.914883,17/02/2018,30
2.976977,45.896183,17/02/2018,30
2.978979,45.872551,17/02/2018,30
2.980981,45.844218,17/02/2018,30
2.982983,45.811441,17/02/2018,30
2.984985,45.774502,17/02/2018,30
2.986987,45.7337,17/02/2018,30
2.988989,45.689351,17/02/2018,30
2.990991,45.641788,17/02/2018,30
2.992993,45.591349,17/02/2018,30
2.994995,45.538385,17/02/2018,30
2.996997,45.483247,17/02/2018,30
2.998999,45.426291,17/02/2018,30
3.001001,45.367869,17/02/2018,30
3.003003,45.308331,17/02/2018,30
3.005005,45.24802,17/02/2018,30
