Median energy [keV],Density,RunPeriod,Interval
3.2732733,8.4947524,30/10/2017,30
3.2752753,8.3255756,30/10/2017,30
3.2772773,8.1551191,30/10/2017,30
3.2792793,7.9859503,30/10/2017,30
3.2812813,7.818459,30/10/2017,30
3.2832833,7.6530248,30/10/2017,30
3.2852853,7.4913434,30/10/2017,30
3.2872873,7.3325876,30/10/2017,30
3.2892893,7.1758918,30/10/2017,30
3.2912913,7.0226529,30/10/2017,30
3.2932933,6.8731492,30/10/2017,30
3.2952953,6.7276275,30/10/2017,30
3.2972973,6.5876946,30/10/2017,30
3.2992993,6.4522478,30/10/2017,30
3.3013013,6.3215533,30/10/2017,30
3.3033033,6.1958454,30/10/2017,30
3.3053053,6.0737511,30/10/2017,30
3.3073073,5.956493,30/10/2017,30
3.3093093,5.845399,30/10/2017,30
3.3113113,5.7379744,30/10/2017,30
3.3133133,5.6352846,30/10/2017,30
3.3153153,5.5385474,30/10/2017,30
3.3173173,5.4451612,30/10/2017,30
3.3193193,5.3588515,30/10/2017,30
3.3213213,5.2755704,30/10/2017,30
3.3233233,5.1951883,30/10/2017,30
3.3253253,5.1185164,30/10/2017,30
3.3273273,5.0452864,30/10/2017,30
3.3293293,4.9752146,30/10/2017,30
3.3313313,4.9080051,30/10/2017,30
3.3333333,4.8433543,30/10/2017,30
3.3353353,4.7836556,30/10/2017,30
3.3373373,4.7262356,30/10/2017,30
3.3393393,4.6683338,30/10/2017,30
3.3413413,4.6132747,30/10/2017,30
3.3433433,4.5609169,30/10/2017,30
3.3453453,4.5072861,30/10/2017,30
3.3473473,4.4544367,30/10/2017,30
3.3493493,4.4021543,30/10/2017,30
3.3513514,4.350246,30/10/2017,30
3.3533534,4.2985423,30/10/2017,30
3.3553554,4.246898,30/10/2017,30
3.3573574,4.1951926,30/10/2017,30
3.3593594,4.1433309,30/10/2017,30
3.3613614,4.0912426,30/10/2017,30
3.3633634,4.0388815,30/10/2017,30
