fractionInTransverseRmsMedian,eccentricityMedian,eccentricityKurtosis,timestamp,energyFromChargeMedian,eccentricitySkewness,fractionInTransverseRmsSkewness,energyFromChargeVariance,lengthDivRmsTransMedian,energyFromChargeSkewness,energyFromChargeKurtosis,lengthDivRmsTransVariance,lengthDivRmsTransSkewness,eccentricityMean,fractionInTransverseRmsKurtosis,fractionInTransverseRmsMean,lengthDivRmsTransMean,lengthDivRmsTransKurtosis,energyFromChargeMean,fractionInTransverseRmsVariance,eccentricityVariance,runType,runPeriods
0.07527,4.244,22.26,1509946775,2.678,3.667,1.533,6.15,16.43,2.005,4.68,130.2,3.806,5.056,3.01,0.09533,18.95,22.64,3.503,0.006907,11.03,background,30/10/2017
0.06314,4.548,6.182,1509952185,2.952,1.952,1.992,5.835,16.79,2.33,7.118,70.17,1.697,5.142,5.796,0.08441,19.28,3.692,3.625,0.00613,6.196,background,30/10/2017
0.06897,4.225,12.06,1509957598,2.832,2.744,1.476,5.53,16.31,2.107,5.604,113.7,3.143,5.154,2.219,0.09139,19.25,15.18,3.498,0.006626,9.378,background,30/10/2017
0.06843,4.312,15.12,1509963015,2.903,3.038,1.447,6.579,16.12,2.362,6.345,98.18,2.796,5.082,2.213,0.08484,18.96,11.99,3.586,0.005173,8.62,background,30/10/2017
0.08,4.245,6.325,1509968433,3.019,2.154,1.57,6.48,15.9,1.975,4.602,76.47,2.147,4.875,3.136,0.09741,18.46,6.526,3.808,0.005961,6.528,background,30/10/2017
0.07273,4.189,6.934,1509973859,2.839,2.124,1.318,5.835,15.8,3.519,20.88,73.4,1.732,4.871,1.779,0.08836,17.94,3.727,3.413,0.005456,6.881,background,30/10/2017
0.0663,4.258,12.36,1509979301,2.998,2.795,1.38,4.906,16.33,1.817,5.131,97.5,2.127,5.089,2.222,0.08845,18.98,6.826,3.471,0.00583,9.543,background,30/10/2017
0.07513,4.347,3.949,1509984720,2.966,1.556,1.237,4.709,15.96,1.469,2.423,65.46,1.435,4.829,1.413,0.09313,18.09,2.762,3.506,0.005653,5.632,background,30/10/2017
0.0597,4.393,47.01,1509990125,2.961,5.422,1.615,5.094,16.22,1.531,2.514,136.4,3.915,5.144,3.285,0.08009,18.93,23.04,3.625,0.004809,13.07,background,30/10/2017
0.08174,4.172,17.98,1509995584,3.05,3.351,1.409,6.402,16.41,1.77,3.412,131.7,4.192,4.921,2.207,0.1047,18.88,28.95,3.717,0.00771,9.663,background,30/10/2017
0.06857,4.425,3.424,1510001005,2.901,1.583,1.495,8.278,16.42,2.041,4.357,64.42,1.672,4.957,2.784,0.08871,18.7,4.396,3.798,0.005326,5.554,background,30/10/2017
0.075,4.294,11.47,1510006467,2.947,2.579,1.32,5.24,16.67,1.832,4.464,65.52,2.679,4.818,1.971,0.09208,18.22,12.64,3.688,0.005633,6.054,background,30/10/2017
