300nm SiN,200μm Si,30mm Ar Abs.,20nm Al,SB,ε,Energy [keV],LLNL,DetectorEfficiency,Efficiency,Eff • SB • ε,Eff • ε,Eff • ε • LLNL,full Eff.
0.88500688,1.62657033e-17,0.99988768,0.99668195,0.778,0.8,1.2712713,0.49348057,0.88197131,0.43523571,0.54893894,0.70557705,0.34818857,0.2708907
0.88730401,3.60705651e-17,0.99986415,0.99675094,0.778,0.8,1.2812813,0.49399665,0.88430097,0.43684171,0.55038892,0.70744077,0.34947337,0.27189028
0.88956222,7.84658428e-17,0.9998362,0.99681876,0.778,0.8,1.2912913,0.49451273,0.88658707,0.43842859,0.55181179,0.70926965,0.35074287,0.27287795
0.89174629,1.67058503e-16,0.99980392,0.99688394,0.778,0.8,1.3013013,0.49500365,0.88879324,0.4399559,0.55318491,0.71103459,0.35196472,0.27382855
0.89389136,3.49478628e-16,0.99976603,0.99694795,0.778,0.8,1.3113113,0.49532624,0.89095465,0.44131322,0.55453018,0.71276372,0.35305058,0.27467335
0.89596789,7.15891996e-16,0.99972263,0.99700962,0.778,0.8,1.3213213,0.49564884,0.89304083,0.44263465,0.55582861,0.71443267,0.35410772,0.27549581
0.89800036,1.43766978e-15,0.99967231,0.99707004,0.778,0.8,1.3313313,0.49597143,0.89507586,0.44393205,0.55709522,0.71606069,0.35514564,0.27630331
0.89997515,2.8375757e-15,0.99961501,0.99712847,0.778,0.8,1.3413413,0.49629402,0.89704536,0.44519825,0.55832103,0.71763629,0.3561586,0.27709139
0.90190164,5.48569623e-15,0.99954938,0.99718555,0.778,0.8,1.3513514,0.49661661,0.89895802,0.44643749,0.55951147,0.71916641,0.35714999,0.27786269
0.90378249,1.0460651e-14,0.99947498,0.99724098,0.778,0.8,1.3613614,0.4969392,0.90081574,0.44765066,0.56066772,0.72065259,0.35812053,0.27861777
0.90560941,1.94991637e-14,0.99939085,0.99729491,0.778,0.8,1.3713714,0.4972618,0.9026095,0.44883322,0.56178415,0.7220876,0.35906658,0.2793538
0.90740216,3.60028514e-14,0.99929574,0.99734756,0.778,0.8,1.3813814,0.49758439,0.90435797,0.44999441,0.5628724,0.72348638,0.35999553,0.28007652
0.90913532,6.49730088e-14,0.99918959,0.99739853,0.778,0.8,1.3913914,0.49790698,0.90603537,0.45112134,0.56391642,0.7248283,0.36089707,0.28077792
0.91084346,1.16269621e-13,0.99906974,0.99744861,0.778,0.8,1.4014014,0.49821465,0.90767438,0.45221668,0.56493654,0.72613951,0.36177334,0.28145966
0.91249048,2.0400761e-13,0.99893777,0.9974968,0.778,0.8,1.4114114,0.49843068,0.90923948,0.45319285,0.56591066,0.72739159,0.36255428,0.28206723
0.91411384,3.54143773e-13,0.99878935,0.99754431,0.778,0.8,1.4214214,0.49864671,0.91076511,0.45415002,0.5668602,0.72861209,0.36332002,0.28266297
0.91568625,6.05580268e-13,0.99862663,0.99759011,0.778,0.8,1.4314314,0.49886273,0.912225,0.45507506,0.56776884,0.72978,0.36406004,0.28323871
0.91722802,1.0213634e-12,0.99844551,0.99763508,0.778,0.8,1.4414414,0.49907876,0.9136364,0.45597652,0.5686473,0.73090912,0.36478122,0.28379979
0.91873316,1.70482482e-12,0.99824718,0.99767898,0.778,0.8,1.4514515,0.49929479,0.91499412,0.45685179,0.56949234,0.7319953,0.36548144,0.28434456
0.92019612,2.79623262e-12,0.99803006,0.99772191,0.778,0.8,1.4614615,0.49951081,0.91629123,0.45769738,0.57029966,0.73303298,0.3661579,0.28487085
0.92163631,4.55557409e-12,0.99779139,0.99776412,0.778,0.8,1.4714715,0.49972684,0.91754466,0.45852169,0.57107979,0.73403572,0.36681735,0.2853839
0.92302724,7.29087846e-12,0.99753482,0.99780529,0.778,0.8,1.4814815,0.49994286,0.91873103,0.45931302,0.57181819,0.73498482,0.36745042,0.28587642
0.92439985,1.15790502e-11,0.99725251,0.99784591,0.778,0.8,1.4914915,0.50015889,0.9198743,0.46008331,0.57252976,0.73589944,0.36806665,0.28635585
0.92574216,1.82832264e-11,0.99695619,0.9978868,0.778,0.8,1.5015015,0.50035729,0.92097405,0.46081608,0.57321425,0.73677924,0.36865286,0.28681193
0.92706641,2.8705337e-11,0.99663527,0.9979273,0.778,0.8,1.5115115,0.50045579,0.92203201,0.46143626,0.57387272,0.73762561,0.36914901,0.28719793
0.9283644,4.47542764e-11,0.99629009,0.99796686,0.778,0.8,1.5215215,0.50055429,0.92303976,0.46203151,0.57449995,0.73843181,0.36962521,0.28756841
