Type,Temperature,DateTime,Timestamp
IMB,39.2098,2017-04-18.06:26:55,1492489615
IMB,39.2359,2017-04-18.06:27:01,1492489621
IMB,39.219,2017-04-18.06:27:06,1492489626
IMB,39.2236,2017-04-18.06:27:12,1492489632
IMB,39.2467,2017-04-18.06:27:18,1492489638
IMB,39.1805,2017-04-18.06:27:23,1492489643
IMB,39.1605,2017-04-18.06:27:29,1492489649
IMB,39.1928,2017-04-18.06:27:34,1492489654
IMB,39.2267,2017-04-18.06:27:40,1492489660
IMB,39.2206,2017-04-18.06:27:45,1492489665
IMB,39.2483,2017-04-18.06:27:51,1492489671
IMB,39.2359,2017-04-18.06:27:56,1492489676
IMB,39.2313,2017-04-18.06:28:02,1492489682
IMB,39.2513,2017-04-18.06:28:07,1492489687
IMB,39.2128,2017-04-18.06:28:13,1492489693
IMB,39.219,2017-04-18.06:28:18,1492489698
IMB,39.2375,2017-04-18.06:28:24,1492489704
IMB,39.2282,2017-04-18.06:28:29,1492489709
IMB,39.2529,2017-04-18.06:28:35,1492489715
IMB,39.2421,2017-04-18.06:28:41,1492489721
IMB,39.2729,2017-04-18.06:28:46,1492489726
IMB,39.3053,2017-04-18.06:28:52,1492489732
IMB,39.3238,2017-04-18.06:28:57,1492489737
IMB,39.333,2017-04-18.06:29:03,1492489743
IMB,39.3361,2017-04-18.06:29:08,1492489748
IMB,39.3222,2017-04-18.06:29:14,1492489754
IMB,39.3392,2017-04-18.06:29:19,1492489759
IMB,39.3623,2017-04-18.06:29:25,1492489765
IMB,39.3391,2017-04-18.06:29:30,1492489770
IMB,39.3546,2017-04-18.06:29:36,1492489776
IMB,39.3391,2017-04-18.06:29:41,1492489781
IMB,39.3145,2017-04-18.06:29:47,1492489787
IMB,39.3376,2017-04-18.06:29:52,1492489792
IMB,39.3499,2017-04-18.06:29:58,1492489798
IMB,39.3576,2017-04-18.06:30:04,1492489804
IMB,39.3515,2017-04-18.06:30:09,1492489809
IMB,39.3653,2017-04-18.06:30:15,1492489815
IMB,39.3808,2017-04-18.06:30:20,1492489820
IMB,39.3762,2017-04-18.06:30:26,1492489826
IMB,39.3653,2017-04-18.06:30:31,1492489831
IMB,39.3885,2017-04-18.06:30:37,1492489837
IMB,39.3839,2017-04-18.06:30:42,1492489842
IMB,39.3947,2017-04-18.06:30:48,1492489848
IMB,39.3854,2017-04-18.06:30:53,1492489853
IMB,39.4054,2017-04-18.06:30:59,1492489859
IMB,39.37,2017-04-18.06:31:04,1492489864
IMB,39.3345,2017-04-18.06:31:10,1492489870
IMB,39.333,2017-04-18.06:31:15,1492489875
IMB,39.353,2017-04-18.06:31:21,1492489881
IMB,39.3638,2017-04-18.06:31:27,1492489887
IMB,39.333,2017-04-18.06:31:32,1492489892
IMB,39.3499,2017-04-18.06:31:38,1492489898
